Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 15 Jan 2024, at 04:20 AM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,High
"On 17 Feb 2024, at 06:02 AM, a car collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 21 Jan 2024, at 01:15 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 19 Feb 2024, at 06:51 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 02 Feb 2024, at 07:26 AM, a truck collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 28 Jan 2024, at 07:33 PM, a car collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,Moderate
"On 14 Feb 2024, at 10:59 AM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Car passengers not wearing seatbelts. DUI-related accident",Seatbelt Violation,Drunk Driving,Moderate
"On 14 Feb 2024, at 10:43 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,High
"On 29 Feb 2024, at 09:57 PM, a bus collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 14 Feb 2024, at 05:59 PM, a car collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 06 Feb 2024, at 10:53 AM, a car collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 21 Feb 2024, at 07:49 AM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Mar 2024, at 04:45 AM, a bus collided with a truck at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 10 Feb 2024, at 10:53 AM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 14 Jan 2024, at 11:32 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,High
"On 22 Jan 2024, at 12:34 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 11 Feb 2024, at 01:47 PM, a car collided with a car at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 21 Jan 2024, at 04:58 PM, a bus collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 04 Feb 2024, at 08:14 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 28 Jan 2024, at 08:56 PM, a truck collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 29 Feb 2024, at 10:38 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,High
"On 15 Jan 2024, at 12:44 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 30 Jan 2024, at 10:15 AM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 12 Feb 2024, at 08:05 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 02 Feb 2024, at 02:46 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Potholes, construction work, or lack of signs",Signal Violation,Road Conditions,High
"On 26 Jan 2024, at 06:16 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,High
"On 13 Jan 2024, at 08:17 AM, a car collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 12 Feb 2024, at 08:41 AM, a car collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 17 Jan 2024, at 03:30 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 24 Feb 2024, at 09:29 AM, a truck collided with a truck at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 31 Jan 2024, at 09:28 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 14 Jan 2024, at 04:35 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,High
"On 01 Feb 2024, at 08:42 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 08 Feb 2024, at 02:55 AM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Jumping red lights or ignoring stop signs",Pedestrian Negligence,Signal Violation,High
"On 31 Jan 2024, at 01:17 AM, a bus collided with a bus at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,Moderate
"On 12 Feb 2024, at 12:24 AM, a car collided with a bus at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,High
"On 23 Jan 2024, at 07:54 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 26 Feb 2024, at 07:12 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 04 Jan 2024, at 01:41 PM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 10 Feb 2024, at 08:19 AM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 26 Jan 2024, at 01:25 PM, a car collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,Moderate
"On 06 Feb 2024, at 10:37 AM, a bus collided with a car at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,Moderate
"On 21 Jan 2024, at 08:09 AM, a bus collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 18 Jan 2024, at 10:51 PM, a truck collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 23 Feb 2024, at 02:38 PM, a car collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 19 Feb 2024, at 01:07 PM, a bus collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 14 Jan 2024, at 05:05 PM, a two-wheeler collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 19 Jan 2024, at 07:40 PM, a car collided with a car at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Jaywalking or crossing in unsafe zones",Seatbelt Violation,Pedestrian Negligence,Moderate
"On 12 Jan 2024, at 10:25 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 21 Feb 2024, at 06:04 PM, a car collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 21 Feb 2024, at 03:23 PM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 01 Mar 2024, at 01:48 AM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,High
"On 01 Jan 2024, at 11:08 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 10 Jan 2024, at 09:43 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,Moderate
"On 17 Feb 2024, at 01:22 AM, a two-wheeler collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 25 Feb 2024, at 10:44 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 08 Jan 2024, at 12:11 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 03 Feb 2024, at 04:16 AM, a bus collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,Moderate
"On 04 Feb 2024, at 06:00 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 29 Jan 2024, at 06:55 AM, a auto-rickshaw collided with a car at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 21 Feb 2024, at 03:52 PM, a two-wheeler collided with a car at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 15 Feb 2024, at 05:21 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,High
"On 24 Feb 2024, at 06:11 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 17 Feb 2024, at 08:21 PM, a truck collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 16 Jan 2024, at 02:10 PM, a truck collided with a bus at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 04 Jan 2024, at 03:48 PM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 23 Jan 2024, at 09:11 PM, a two-wheeler collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,Moderate
"On 08 Feb 2024, at 01:56 PM, a truck collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 27 Jan 2024, at 06:55 PM, a auto-rickshaw collided with a bus at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,Moderate
"On 24 Jan 2024, at 01:27 PM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 26 Feb 2024, at 10:35 PM, a car collided with a two-wheeler at MG Road, Bangalore. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,Moderate
"On 10 Feb 2024, at 11:22 PM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 25 Feb 2024, at 02:00 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 03 Feb 2024, at 10:40 PM, a car collided with a two-wheeler at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 29 Feb 2024, at 03:54 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Jumping red lights or ignoring stop signs",Pedestrian Negligence,Signal Violation,High
"On 08 Jan 2024, at 01:55 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 23 Jan 2024, at 02:47 AM, a car collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,High
"On 02 Jan 2024, at 07:29 PM, a bus collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 31 Jan 2024, at 03:39 AM, a truck collided with a truck at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 03 Feb 2024, at 07:23 PM, a two-wheeler collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 17 Jan 2024, at 11:28 PM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Feb 2024, at 02:25 AM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,High
"On 25 Jan 2024, at 12:01 PM, a bus collided with a truck at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 10 Jan 2024, at 06:09 AM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 09 Feb 2024, at 02:02 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,Moderate
"On 03 Jan 2024, at 06:32 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 19 Jan 2024, at 08:52 AM, a bus collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 22 Jan 2024, at 02:06 AM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 14 Jan 2024, at 10:23 PM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 25 Feb 2024, at 01:12 AM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Two-wheeler rider not wearing a helmet",Seatbelt Violation,Helmet Violation,Moderate
"On 26 Feb 2024, at 04:31 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 19 Jan 2024, at 05:12 AM, a car collided with a truck at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 16 Jan 2024, at 02:59 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 10 Feb 2024, at 11:57 AM, a car collided with a two-wheeler at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 10 Jan 2024, at 01:21 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 07 Feb 2024, at 04:43 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 22 Jan 2024, at 05:02 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 23 Feb 2024, at 10:29 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 06 Jan 2024, at 11:31 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 29 Jan 2024, at 12:21 PM, a truck collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 22 Feb 2024, at 11:08 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Over speeding and reckless maneuvering",Road Conditions,Rash Driving,High
"On 17 Feb 2024, at 11:20 AM, a bus collided with a bus at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 05 Feb 2024, at 01:38 AM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
"On 09 Jan 2024, at 11:09 PM, a truck collided with a bus at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,High
"On 23 Feb 2024, at 02:21 PM, a car collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,High
"On 07 Feb 2024, at 09:43 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
"On 25 Feb 2024, at 02:31 AM, a car collided with a truck at NH66 near Trivandrum. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,Moderate
"On 16 Jan 2024, at 02:39 AM, a truck collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 07 Feb 2024, at 09:43 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 26 Jan 2024, at 06:47 PM, a car collided with a truck at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 18 Feb 2024, at 05:51 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 08 Feb 2024, at 10:04 PM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Two-wheeler rider not wearing a helmet",Pedestrian Negligence,Helmet Violation,Moderate
"On 26 Feb 2024, at 09:27 PM, a two-wheeler collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,High
"On 01 Mar 2024, at 09:12 AM, a two-wheeler collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 25 Feb 2024, at 10:36 PM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. DUI-related accident. DUI-related accident",Drunk Driving,Drunk Driving,Moderate
"On 24 Jan 2024, at 02:30 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,Moderate
"On 26 Jan 2024, at 04:40 PM, a two-wheeler collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 12 Jan 2024, at 10:16 AM, a bus collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 14 Jan 2024, at 01:09 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,High
"On 15 Feb 2024, at 02:06 PM, a truck collided with a truck at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 06 Feb 2024, at 01:40 PM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 27 Jan 2024, at 02:25 AM, a car collided with a auto-rickshaw at MG Road, Bangalore. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,Moderate
"On 14 Feb 2024, at 05:12 PM, a truck collided with a car at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 16 Feb 2024, at 08:37 AM, a car collided with a car at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 22 Feb 2024, at 04:00 AM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 26 Jan 2024, at 02:52 PM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,High
"On 07 Jan 2024, at 09:53 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 12 Feb 2024, at 04:26 AM, a car collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 10 Feb 2024, at 11:20 AM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 26 Feb 2024, at 05:04 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 14 Feb 2024, at 10:21 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 10 Feb 2024, at 03:41 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 30 Jan 2024, at 08:50 AM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,High
"On 10 Jan 2024, at 04:44 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 08 Jan 2024, at 11:52 AM, a car collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 30 Jan 2024, at 05:56 AM, a two-wheeler collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 08 Feb 2024, at 11:50 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 14 Jan 2024, at 08:59 AM, a truck collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,Moderate
"On 01 Jan 2024, at 11:44 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,Moderate
"On 10 Feb 2024, at 04:00 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Two-wheeler rider not wearing a helmet",Helmet Violation,Helmet Violation,High
"On 26 Jan 2024, at 08:11 AM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 25 Feb 2024, at 11:41 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 03 Jan 2024, at 03:16 AM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,Moderate
"On 09 Feb 2024, at 08:57 PM, a auto-rickshaw collided with a car at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 12 Jan 2024, at 08:05 AM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 09 Jan 2024, at 12:56 PM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Feb 2024, at 02:41 AM, a two-wheeler collided with a bus at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 01 Feb 2024, at 07:23 AM, a car collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 25 Jan 2024, at 02:54 AM, a bus collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 08 Jan 2024, at 02:34 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 07 Feb 2024, at 12:08 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 19 Feb 2024, at 07:04 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 30 Jan 2024, at 05:25 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 24 Feb 2024, at 02:15 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 13 Jan 2024, at 12:59 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
